Date,sentiment,sentiment_label,Open,High,Low,Close,Volume
2018-05-06,67,Greed,9869.313498486,9960.40872297,9495.756447446,9666.853489071,5579263731.540215
2018-05-07,56,Greed,9673.823718897,9679.398283406,9256.524550388,9372.87800412,5126629695.110314
2018-05-08,62,Greed,9380.792342012,9468.199602424,9136.383479152,9233.687914131,5187265753.795841
2018-05-09,53,Neutral,9232.346558206,9384.380916193,9074.433276642,9327.374046577,5229298823.615705
2018-05-10,63,Greed,9314.428561457,9393.068048204,9037.392111957,9037.392111957,5032109490.297594
2018-05-11,41,Fear,9040.788664552,9040.788664552,8394.76746297,8422.663809755,5789182783.718333
2018-05-12,44,Fear,8416.407227841,8640.19705144,8196.315735074,8488.213129483,5465653039.497356
2018-05-13,40,Fear,8488.707530407,8753.425965701,8376.21910193,8699.820502933,4329079560.403619
2018-05-14,40,Fear,8696.818046123,8895.462875722,8347.174977365,8740.312767923,5019113653.882912
2018-05-15,40,Fear,8735.400032204,8832.72290218,8477.513110566,8515.70113433,5366406569.286464
2018-05-16,32,Fear,8508.251974499,8508.674225949,8164.50493598,8343.900225706,5131375183.098747
2018-05-17,31,Fear,8341.615725326,8408.350501548,8054.71466031,8088.947899194,4471142637.654744
2018-05-18,37,Fear,8093.347179942,8258.631884202,7968.007687838,8236.681883593,4472415561.77629
2018-05-19,31,Fear,8236.02240278,8338.416559235,8160.754424617,8225.333518556,3931791516.723238
2018-05-20,32,Fear,8232.481806821,8538.388398431,8177.724729808,8499.122900226,3622202463.385024
2018-05-21,41,Fear,8504.392245727,8536.846506431,8353.567838539,8399.115042185,3892425909.513094
2018-05-22,30,Fear,8398.980741383,8398.980741383,8016.111591945,8032.093710758,3751166478.6618953
2018-05-23,26,Fear,8021.527115451,8050.003180465,7525.488247962,7570.538188039,4347099237.87214
2018-05-24,27,Fear,7558.332248074,7740.093094955,7340.474586303,7576.278751944,4962607292.142311
2018-05-25,25,Extreme Fear,7597.498837309,7649.03106349,7397.19078942,7488.63722059,4140362593.80529
2018-05-26,23,Extreme Fear,7483.923186515,7574.745396445,7344.829727195,7349.788651908,3196176483.8865113
2018-05-27,19,Extreme Fear,7358.682109051,7380.225321265,7269.543823627,7363.936760174,3037874870.6619616
2018-05-28,22,Extreme Fear,7366.64777523,7442.193014039,7141.115481176,7149.250597223,3215107342.645699
2018-05-29,16,Extreme Fear,7148.382787397,7530.365297941,7108.097718043,7474.562016474,3815081591.776013
2018-05-30,38,Fear,7475.380975127,7572.028923792,7330.9415028,7411.621917051,3899968538.104636
2018-05-31,25,Extreme Fear,7410.996883153,7588.941668177,7361.209308722,7504.038586976,3635904694.014932
2018-06-01,24,Extreme Fear,7503.960275241,7590.623838226,7411.831128257,7525.473796775,3534811211.334462
2018-06-02,27,Fear,7520.809781437,7659.692451349,7481.281344806,7588.637727714,3506255999.625372
2018-06-03,40,Fear,7586.635658935,7709.254871346,7567.496422821,7684.931799179,3988066391.916733
2018-06-04,41,Fear,7687.675751763,7709.043781258,7473.489414432,7505.890508055,3930562178.7105064
2018-06-05,26,Fear,7504.61258223,7628.660710951,7407.33775354,7612.11517624,3615936275.2699337
2018-06-06,42,Fear,7611.859043556,7645.242998408,7501.760893237,7577.593404507,3324816448.420833
2018-06-07,38,Fear,7576.087612329,7711.707126213,7576.087612329,7654.789136027,3371952934.7002535
2018-06-08,40,Fear,7659.86399996,7677.59749411,7564.965086893,7622.637061001,2974280008.599861
2018-06-09,39,Fear,7624.284000169,7658.105197332,7559.667408968,7559.667408968,2724319399.4094253
2018-06-10,24,Extreme Fear,7563.600993476,7563.600993476,6759.046140495,6797.078904208,3104326326.997626
2018-06-11,15,Extreme Fear,6804.106499107,6851.118289256,6721.954597059,6847.943670812,3827038711.602335
2018-06-12,19,Extreme Fear,6845.923064395,6867.287029976,6535.55115894,6558.514878298,3102008136.8682976
2018-06-13,19,Extreme Fear,6559.943493856,6599.514735849,6283.231868523,6308.396028075,3295765432.7675424
2018-06-14,17,Extreme Fear,6307.58885043,6667.67355404,6293.277844784,6649.438347225,3663602706.47204
2018-06-15,26,Fear,6650.926764781,6652.572392248,6470.053173969,6473.773490579,3114118486.941199
2018-06-16,22,Extreme Fear,6469.496413441,6514.550897064,6395.022990667,6505.755311335,2350148804.5821905
2018-06-17,23,Extreme Fear,6500.4350038,6541.234834405,6459.314000665,6461.213024688,2039619863.6724365
2018-06-18,27,Fear,6460.21840507,6724.30158934,6400.071429431,6700.596020849,2259399591.5332966
2018-06-19,32,Fear,6705.753311753,6754.452193254,6677.957643267,6722.636752661,2930821031.408766
2018-06-20,34,Fear,6720.901573124,6754.942346176,6577.803076101,6734.137827984,3087939613.094331
2018-06-21,37,Fear,6734.137827984,6770.207068431,6695.896163838,6711.941657499,2901154211.8809814
2018-06-22,28,Fear,6712.439403078,6715.006408875,6056.861989359,6071.720089041,3351734963.0013323
2018-06-23,17,Extreme Fear,6073.054271142,6244.375949169,6070.106576437,6156.30026398,4089480599.8167887
2018-06-24,15,Extreme Fear,6157.664107899,6211.292125144,5829.901535379,6149.117943358,3728670367.4808583
2018-06-25,16,Extreme Fear,6149.963218829,6289.175733833,6113.991152687,6238.074118939,4343151231.320295
2018-06-26,21,Extreme Fear,6247.163489863,6255.443512707,6103.030719908,6103.030719908,3889799376.7833753
2018-06-27,18,Extreme Fear,6108.081816244,6172.527246137,6049.848945012,6108.694145794,3736840201.22038
2018-06-28,20,Extreme Fear,6118.418332491,6138.655470336,5896.088025206,5912.435445858,3121465243.007189
2018-06-29,16,Extreme Fear,5910.738003714,6180.342189053,5847.32314046,6127.560923281,2839622172.243842
2018-06-30,22,Extreme Fear,6133.70397686,6425.917484836,6130.99266295,6376.564855317,3771289831.842599
2018-07-01,27,Fear,6385.423752059,6409.365459218,6310.846816102,6364.401841845,3508360442.8746557
2018-07-02,27,Fear,6363.378352016,6638.313861013,6302.439982773,6595.968717111,3807596497.406929
2018-07-03,31,Fear,6595.97519117,6645.835589793,6483.5643111,6534.644902843,5004522312.6593275
2018-07-04,33,Fear,6537.368501721,6686.34437471,6435.020216612,6603.099908979,4840988987.800326
2018-07-05,37,Fear,6612.111581483,6636.32626347,6492.340691035,6532.499354404,4643821207.807072
2018-07-06,34,Fear,6528.310928764,6600.606900537,6461.897552997,6600.606900537,4811073504.46022
2018-07-07,34,Fear,6594.777709362,6725.931831739,6528.997976578,6718.701013051,4981676689.534587
2018-07-08,38,Fear,6715.378280114,6759.512216994,6687.644579808,6711.756799934,4983369408.61671
2018-07-09,39,Fear,6713.143583017,6746.343655147,6664.513132981,6669.998510267,4925375835.097639
2018-07-10,37,Fear,6670.315362761,6677.743511768,6316.171327848,6319.835609607,4677923064.3434
2018-07-11,29,Fear,6318.741219514,6390.003177931,6318.741219514,6367.687185252,3967828329.8168654
2018-07-12,33,Fear,6369.836850151,6375.149278186,6129.642442926,6202.44217648,3447735128.478174
2018-07-13,29,Fear,6217.319818144,6294.955455211,6181.047378458,6215.784717881,3821904703.0469184
2018-07-14,29,Fear,6220.174225132,6264.895759144,6195.27963683,6250.050406982,3734323550.331161
2018-07-15,32,Fear,6250.324790913,6381.087798012,6236.637067252,6346.599550754,3455989685.6982293
2018-07-16,36,Fear,6349.113032979,6705.492443642,6336.933528699,6705.492443642,4630543497.449322
2018-07-17,39,Fear,6698.843898684,7347.954698181,6666.153806008,7317.330033998,5419192992.699332
2018-07-18,42,Fear,7313.602735913,7506.522681868,7293.696027201,7353.8838511,6330311100.250035
2018-07-19,44,Fear,7349.626444582,7480.49111106,7289.406628292,7443.660645781,5846088135.45322
2018-07-20,47,Neutral,7444.568409892,7552.764240154,7305.638274574,7329.843347761,4966521399.751789
2018-07-21,43,Fear,7330.341057369,7410.51243765,7264.995035975,7400.986497236,4512259647.477471
2018-07-22,46,Fear,7398.452210369,7535.767369706,7381.602713089,7391.747573501,3665112371.9181433
2018-07-23,44,Fear,7386.710266104,7753.766990612,7375.794246766,7712.930731944,4687601679.596329
2018-07-24,49,Neutral,7715.394161402,8349.100818796,7704.861421219,8338.940620443,5764717500.8643265
2018-07-25,54,Neutral,8343.380118959,8416.620991015,8070.169259958,8179.363887184,6176077122.425064
